time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-18 00:00:00+00:00,5.0,2.0,39,5
2023-10-19 00:00:00+00:00,7.0,1.0,42,3
2023-10-20 00:00:00+00:00,11.0,2.0,68,4
2023-10-21 00:00:00+00:00,,,38,2
2023-10-22 00:00:00+00:00,1.0,1.0,1,1
2023-10-23 00:00:00+00:00,3.0,2.0,55,1
2023-10-24 00:00:00+00:00,5.0,2.0,19,2
2023-10-25 00:00:00+00:00,1.0,1.0,12,4
2023-10-26 00:00:00+00:00,,,37,8
2023-10-27 00:00:00+00:00,2.0,2.0,19,6
2023-10-28 00:00:00+00:00,,,4,3
2023-10-30 00:00:00+00:00,,,1,1
2023-10-31 00:00:00+00:00,2.0,1.0,15,5
