time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-03 00:00:00+00:00,1.0,1.0,21,4
2024-06-04 00:00:00+00:00,,,113,10
2024-06-05 00:00:00+00:00,1.0,1.0,36,10
2024-06-06 00:00:00+00:00,,,5,5
2024-06-07 00:00:00+00:00,,,31,5
2024-06-08 00:00:00+00:00,,,2,2
2024-06-09 00:00:00+00:00,1.0,1.0,63,6
2024-06-10 00:00:00+00:00,7.0,5.0,81,8
2024-06-11 00:00:00+00:00,2.0,1.0,3,3
2024-06-12 00:00:00+00:00,3.0,3.0,30,9
2024-06-13 00:00:00+00:00,,,11,4
2024-06-14 00:00:00+00:00,1.0,1.0,1,1
2024-06-15 00:00:00+00:00,,,4,2
2024-06-16 00:00:00+00:00,,,1,1
