time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-08 00:00:00+00:00,2,1,3,3
2026-08-09 00:00:00+00:00,5,3,0,0
2026-08-10 00:00:00+00:00,5,3,1,1
2026-08-11 00:00:00+00:00,3,1,14,10
2026-08-12 00:00:00+00:00,3,1,4,4
2026-08-13 00:00:00+00:00,4,3,11,11
2026-08-14 00:00:00+00:00,5,3,12,12
2026-08-15 00:00:00+00:00,5,3,5,5
2026-08-16 00:00:00+00:00,5,3,4,4
2026-08-17 00:00:00+00:00,3,2,4,4
2026-08-18 00:00:00+00:00,5,3,8,3
2026-08-19 00:00:00+00:00,13,12,2,2
2026-08-20 00:00:00+00:00,10,7,2,2
2026-08-21 00:00:00+00:00,2,1,7,5
